Em qual Instituição de Ensino Superior (IES) você estuda? ,Quais seus maiores interesses em participar da Maratona de Programação?                                                                                                                                                                                          ,Quantas horas por semana você costuma praticar? ,Quais suas maiores dificuldades na preparação para a competição?                                                                                                                                                                                            ,Que tipo de apoio você gostaria de ter para melhorar sua participação na competição?                                        ,Pretende participar da Maratona de Programação de 2025? ,"Você gostaria de entrar em um grupo de competições de programação? Se sim, entraremos em contato por e-mail."
Universidade Federal do Pará - Campus Guamá               ,"Por diversão., Para conseguir estágio/emprego com as empresas patrocinadoras., Conseguir medalhas ou troféus na competição., Oportunidades para viajar., Aprimorar habilidades de programação, Fazer contatos/networking e conhecer pessoas de outras regiões." ,Entre 1 a 5 horas por semana.                   ,"Pouco tempo para praticar., Uma sequência de assuntos  para estudar por ordem de relevância. Além disso, encontrar problemas que vão mais ""direto ao ponto"" para que eu apenas aplique um algoritmo, sem muita contextualização em um primeiro momento." ,"Aulas sobre tópicos de Ciência da Computação., Ajuda com resolução de problemas., Simulação de competições para praticar." ,Sim                                                     ,Sim
UFPA                                                      ,"Por diversão., Conseguir medalhas ou troféus na competição., Aprimorar habilidades de programação"                                                                                                                                                              ,Menos de 1 hora por semana.                     ,Pouco tempo para praticar.                                                                                                                                                                                                                                  ,Simulação de competições para praticar.                                                                                     ,Sim                                                     ,Não
UFPA                                                      ,"Por diversão., Conseguir medalhas ou troféus na competição."                                                                                                                                                                                                    ,Entre 1 a 5 horas por semana.                   ,Não saber quais assuntos estudar.                                                                                                                                                                                                                           ,Ajuda com resolução de problemas.                                                                                           ,Sim                                                     ,Sim
UFPA                                                      ,"Por diversão., Conseguir medalhas ou troféus na competição., Oportunidades para viajar., Aprimorar habilidades de programação"                                                                                                                                  ,Menos de 1 hora por semana.                     ,Pouco tempo para praticar.                                                                                                                                                                                                                                  ,"Aulas sobre tópicos de Ciência da Computação., Ajuda com resolução de problemas., Simulação de competições para praticar." ,Sim                                                     ,Não
UFPA                                                      ,"Por diversão., Conseguir medalhas ou troféus na competição., Aprimorar habilidades de programação, Fazer contatos/networking e conhecer pessoas de outras regiões."                                                                                             ,Entre 1 a 5 horas por semana.                   ,"Pouco tempo para praticar., Não saber quais assuntos estudar."                                                                                                                                                                                             ,Simulação de competições para praticar.                                                                                     ,Sim                                                     ,Sim
Universidade Federal do Pará                              ,"Por diversão., Oportunidades para viajar., Aprimorar habilidades de programação"                                                                                                                                                                                ,Entre 1 a 5 horas por semana.                   ,Pouco tempo para praticar.                                                                                                                                                                                                                                  ,"Aulas sobre tópicos de Ciência da Computação., Ajuda com resolução de problemas., Simulação de competições para praticar." ,Sim                                                     ,Sim
Centro Universitário do Estado do Pará                    ,"Por diversão., Para conseguir estágio/emprego com as empresas patrocinadoras., Conseguir medalhas ou troféus na competição., Oportunidades para viajar., Aprimorar habilidades de programação, Fazer contatos/networking e conhecer pessoas de outras regiões." ,Menos de 1 hora por semana.                     ,"Acho que a única coisa que eu poderia pedir seria um coach, mas minha instituição já está planejando criar um programa de preparação específica pra maratona, então acho que posso dizer que não tenho dificuldades."                                      ,"Aulas sobre tópicos de Ciência da Computação., Ajuda com resolução de problemas., Simulação de competições para praticar." ,Sim                                                     ,Sim
Universidade Federal do Pará                              ,"Aprimorar habilidades de programação, Fazer contatos/networking e conhecer pessoas de outras regiões."                                                                                                                                                          ,Menos de 1 hora por semana.                     ,"Pouco tempo para praticar., Não saber quais assuntos estudar."                                                                                                                                                                                             ,Simulação de competições para praticar.                                                                                     ,Sim                                                     ,Sim
Cesupa                                                    ,"Por diversão., Conseguir medalhas ou troféus na competição., Aprimorar habilidades de programação"                                                                                                                                                              ,Mais de 5 horas por semana.                     ,Pouco tempo para praticar.                                                                                                                                                                                                                                  ,Aulas sobre tópicos de Ciência da Computação.                                                                               ,Sim                                                     ,Sim
IFPA                                                      ,"Por diversão., Para conseguir estágio/emprego com as empresas patrocinadoras., Conseguir medalhas ou troféus na competição., Oportunidades para viajar., Aprimorar habilidades de programação, Fazer contatos/networking e conhecer pessoas de outras regiões." ,Menos de 1 hora por semana.                     ,"Pouco tempo para praticar., Não saber quais assuntos estudar."                                                                                                                                                                                             ,"Aulas sobre tópicos de Ciência da Computação., Ajuda com resolução de problemas., Simulação de competições para praticar." ,Sim                                                     ,Sim
UFPA                                                      ,"Por diversão., Aprimorar habilidades de programação, Fazer contatos/networking e conhecer pessoas de outras regiões."                                                                                                                                           ,Entre 1 a 5 horas por semana.                   ,Pouco tempo para praticar.                                                                                                                                                                                                                                  ,"Aulas sobre tópicos de Ciência da Computação., Ajuda com resolução de problemas., Simulação de competições para praticar." ,Sim                                                     ,Sim
CESUPA                                                    ,"Por diversão., Para conseguir estágio/emprego com as empresas patrocinadoras., Conseguir medalhas ou troféus na competição., Oportunidades para viajar., Aprimorar habilidades de programação, Fazer contatos/networking e conhecer pessoas de outras regiões." ,Mais de 5 horas por semana.                     ,Não saber quais assuntos estudar.                                                                                                                                                                                                                           ,Simulação de competições para praticar.                                                                                     ,Sim                                                     ,Sim
CESUPA                                                    ,"Por diversão., Aprimorar habilidades de programação, Fazer contatos/networking e conhecer pessoas de outras regiões."                                                                                                                                           ,Entre 1 a 5 horas por semana.                   ,Não saber quais assuntos estudar.                                                                                                                                                                                                                           ,"Ajuda com resolução de problemas., Simulação de competições para praticar."                                                ,Sim                                                     ,Sim
Universidade Federal do Pará                              ,"Para conseguir estágio/emprego com as empresas patrocinadoras., Conseguir medalhas ou troféus na competição., Aprimorar habilidades de programação, Fazer contatos/networking e conhecer pessoas de outras regiões."                                            ,Entre 1 a 5 horas por semana.                   ,"Não saber onde praticar., Não saber quais assuntos estudar."                                                                                                                                                                                               ,"Aulas sobre tópicos de Ciência da Computação., Ajuda com resolução de problemas., Simulação de competições para praticar." ,Sim                                                     ,Sim
UFPA                                                      ,"Por diversão., Para conseguir estágio/emprego com as empresas patrocinadoras., Conseguir medalhas ou troféus na competição., Oportunidades para viajar., Aprimorar habilidades de programação, Fazer contatos/networking e conhecer pessoas de outras regiões." ,Menos de 1 hora por semana.                     ,"Pouco tempo para praticar., Não saber onde praticar., Não saber quais assuntos estudar."                                                                                                                                                                   ,"Aulas sobre tópicos de Ciência da Computação., Ajuda com resolução de problemas., Simulação de competições para praticar." ,Sim                                                     ,Sim
Unifesspa - Marabá                                        ,"Por diversão., Aprimorar habilidades de programação"                                                                                                                                                                                                            ,Menos de 1 hora por semana.                     ,"Pouco tempo para praticar., Não saber quais assuntos estudar."                                                                                                                                                                                             ,"Ajuda com resolução de problemas., Simulação de competições para praticar."                                                ,Sim                                                     ,Sim
Unifesspa                                                 ,"Por diversão., Oportunidades para viajar., Aprimorar habilidades de programação, Fazer contatos/networking e conhecer pessoas de outras regiões."                                                                                                               ,Entre 1 a 5 horas por semana.                   ,"Não saber onde praticar., Não saber quais assuntos estudar."                                                                                                                                                                                               ,"Aulas sobre tópicos de Ciência da Computação., Ajuda com resolução de problemas., Simulação de competições para praticar." ,Sim                                                     ,Sim
UFPA                                                      ,Aprimorar habilidades de programação                                                                                                                                                                                                                             ,Entre 1 a 5 horas por semana.                   ,Não saber quais assuntos estudar.                                                                                                                                                                                                                           ,"Ajuda com resolução de problemas., Simulação de competições para praticar."                                                ,Sim                                                     ,Sim
UFPA                                                      ,"Por diversão., Para conseguir estágio/emprego com as empresas patrocinadoras., Aprimorar habilidades de programação"                                                                                                                                            ,Menos de 1 hora por semana.                     ,"Pouco tempo para praticar., Falta de motivação para praticar."                                                                                                                                                                                             ,Ajuda com resolução de problemas.                                                                                           ,Não                                                     ,Sim
Unifesspa                                                 ,"Por diversão., Para conseguir estágio/emprego com as empresas patrocinadoras., Aprimorar habilidades de programação, Fazer contatos/networking e conhecer pessoas de outras regiões."                                                                           ,Mais de 5 horas por semana.                     ,Pouco tempo para praticar.                                                                                                                                                                                                                                  ,"Ajuda com resolução de problemas., Simulação de competições para praticar."                                                ,Sim                                                     ,Sim